'2021-05-10 17:20:01',40.7028,3.78129,2.42572,'sth20143d50f'
'2021-05-10 17:30:01',45.2372,5.8107,2.43685,'sth4044b9922'
'2021-05-10 17:40:02',39.9805,5.67854,2.55216,'sth40464fc2f'
'2021-05-10 17:50:01',41.9891,5.03829,2.44194,'sth4042e004e'
'2021-05-10 18:00:01',46.8375,6.00898,2.50594,'sth404637166'
'2021-05-10 18:10:01',39.5548,2.21457,2.74959,'sth4042e306e'
'2021-05-10 18:20:01',40.0151,6.46065,2.6548,'sth20151a9c8'
'2021-05-10 18:30:01',41.5295,4.3268,2.65733,'sth201a92cef'
'2021-05-10 18:40:02',45.9513,2.1105,1.74238,'sth404837990'
'2021-05-10 18:50:01',94.9894,2.14401,1.17385,'sth201f209a6'
'2021-05-10 19:00:02',70.2775,4.47534,2.59356,'sth404928b3d'
'2021-05-10 19:10:01',66.9873,2.99588,1.8049,'sth40472c1e6'
'2021-05-10 19:20:01',53.3983,1.68902,2.30898,'sth201c13cb3'
'2021-05-10 19:30:01',40.3546,3.22943,0.618592,'sth201658b0b'
'2021-05-10 19:40:01',82.7299,0.587889,0.153273,'sth20127581c'
'2021-05-10 19:50:01',48.1999,1.87341,0.43559,'sth20199f45f'
'2021-05-10 20:00:01',574.307,2.39914,1.78878,'sth2016c67d0'
'2021-05-10 20:10:01',95.2914,1.15216,0.839882,'sth4044579a4'
'2021-05-10 20:20:01',132.57,0.523325,0.821526,'sth201566e22'
'2021-05-10 20:30:01',101.828,0.686971,0.991295,'sth201ef1b9d'
'2021-05-10 20:40:01',63.1213,0.591993,1.63737,'sth201fa479a'
'2021-05-10 20:50:02',100.678,0.72608,1.14021,'sth404c229c2'
'2021-05-10 21:00:02',93.0163,1.45087,1.93096,'sth404e1aa6c'
'2021-05-10 21:10:01',127.424,1.14097,1.81136,'sth20110e9d2'
'2021-05-10 21:20:01',74.1178,2.7923,1.65089,'sth201ea0e07'
'2021-05-10 21:30:01',42.5168,4.28964,1.55479,'sth40424bd90'
'2021-05-10 21:40:01',37.0227,3.51625,2.97873,'sth4046e23d0'
'2021-05-10 21:50:01',39.5439,2.44292,3.81612,'sth404105afe'
'2021-05-10 22:00:01',41.6788,6.75272,2.43567,'sth20102ed61'
'2021-05-10 22:10:01',42.5158,3.85024,3.23929,'sth404973225'
'2021-05-10 22:20:01',39.819,7.98739,2.62027,'sth404b656b5'
'2021-05-10 22:30:01',39.9576,2.82433,2.7728,'sth20189a7ba'
'2021-05-10 22:40:01',40.9086,3.75367,3.32062,'sth2015afb14'
'2021-05-10 22:50:01',40.2908,5.95156,2.92305,'sth40496c3db'
'2021-05-10 23:00:01',44.5439,5.43211,1.9137,'sth2017db8ef'
'2021-05-10 23:10:01',48.8333,5.78808,2.81005,svl4072a55b1'
'2021-05-10 23:20:01',49.98,4.8576,3.42824,svl20a04b6e2'
'2021-05-10 23:30:01',53.6926,2.59331,2.5462,svl407b69c5b'
'2021-05-10 23:40:01',55.6742,7.12751,3.5359,svl407bb318b'
'2021-05-10 23:50:01',51.1407,7.81127,3.75114,svl407f6bf9c'
'2021-05-11 00:00:01',50.2981,5.05353,2.28672,svl20a939485'
'2021-05-11 00:10:01',53.112,5.70959,2.98013,svl20a01af70'
'2021-05-11 00:20:01',54.2374,4.55931,2.69281,svl20a5226d0'
'2021-05-11 00:30:01',50.3743,4.87459,3.41096,svl20a4f37a7'
'2021-05-11 00:40:01',55.9833,7.81116,3.44281,svl4071f6b30'
'2021-05-11 00:50:01',55.6993,6.46136,2.47756,svl407875461'
'2021-05-11 01:00:01',50.0029,6.55241,2.70589,svl20ac04979'
'2021-05-11 01:10:01',53.1111,5.68693,3.01616,svl407f4b1f8'
'2021-05-11 01:20:01',49.1382,6.37162,2.35252,svl20a1ea295'
'2021-05-11 01:30:01',51.6825,5.72116,2.65934,svl20a610d62'
'2021-05-11 01:40:01',49.9674,7.634,2.40403,svl407158dca'
